"fecha","hora","magnitud","profundidad_km","lugar","latitud","longitud"
"2023-07-19","10:10",4.2,64.464,"62 km SSW of Intipucá, El Salvador",12.6526,-88.2052
"2023-07-19","07:27",4.5,79.225,"52 km SSW of Chirilagua, El Salvador",12.7597,-88.24
"2023-07-19","04:11",4.7,79.551,"49 km S of Chirilagua, El Salvador",12.7776,-88.2249
"2023-07-19","03:26",4.4,56.479,"66 km SSW of Chirilagua, El Salvador",12.6377,-88.2836
"2023-07-19","03:13",4,51.15,"60 km SSW of Jucuarán, El Salvador",12.7255,-88.3955
"2023-07-18","20:46",5,71.486,"41 km S of Chirilagua, El Salvador",12.842,-88.2108
"2023-07-18","19:58",4,54.676,"68 km SSW of Chirilagua, El Salvador",12.6312,-88.3287
"2023-07-18","19:50",4,64.196,"60 km SSW of Chirilagua, El Salvador",12.6915,-88.2732
"2023-07-18","18:22",6.5,70.808,"43 km S of Intipucá, El Salvador",12.8,-88.0796
"2023-07-08","14:12",4.4,57.565,"43 km SSW of Puerto El Triunfo, El Salvador",12.9018,-88.6628
"2023-06-18","22:45",4.3,77.397,"54 km SSW of Intipucá, El Salvador",12.7318,-88.2198
"2023-06-13","01:36",4.5,50.419,"77 km SSW of Puerto El Triunfo, El Salvador",12.6113,-88.7563
"2023-06-10","19:34",4.4,35,"88 km SSW of Puerto El Triunfo, El Salvador",12.5303,-88.8243
"2023-05-31","20:41",4.1,35,"61 km SSW of Puerto El Triunfo, El Salvador",12.8107,-88.8556
"2023-05-20","19:08",4.3,35,"119 km S of Puerto El Triunfo, El Salvador",12.2038,-88.5896
"2023-05-20","18:30",4.6,46.63,"108 km SSW of Jucuarán, El Salvador",12.2988,-88.4931
"2023-05-19","23:16",4.2,48.47,"100 km S of Puerto El Triunfo, El Salvador",12.3772,-88.5351
"2023-05-17","21:40",4,57.999,"62 km SSW of Chirilagua, El Salvador",12.665,-88.263
"2023-05-06","18:26",4.3,35,"63 km S of Acajutla, El Salvador",13.0209,-89.8704
"2023-05-03","04:03",4.5,45.93,"92 km SSW of Intipucá, El Salvador",12.3857,-88.2693
"2023-04-28","05:20",4.2,43.406,"60 km SSW of Puerto El Triunfo, El Salvador",12.7463,-88.6654
"2023-04-25","02:21",4.1,57.061,"23 km WSW of Acajutla, El Salvador",13.4848,-90.0119
"2023-04-21","01:02",3.9,56.912,"26 km SSE of Acajutla, El Salvador",13.3801,-89.7173
"2023-04-14","09:55",4.4,68.275,"46 km S of El Rosario, El Salvador",13.0811,-89.026
"2023-04-09","00:46",4.3,35,"66 km S of Puerto El Triunfo, El Salvador",12.6921,-88.6609
"2023-04-03","06:36",5,10,"134 km S of La Libertad, El Salvador",12.274,-89.4448
"2023-03-27","06:04",4.4,175.403,"10 km N of Berlín, El Salvador",13.5962,-88.5516
"2023-03-18","13:27",4.3,184.005,"21 km SSE of Sensuntepeque, El Salvador",13.6897,-88.563
"2023-03-16","19:35",4.2,35,"73 km SSW of Acajutla, El Salvador",13.0426,-90.2
"2023-03-12","19:11",4.3,10,"145 km SSW of Acajutla, El Salvador",12.3278,-90.1951
"2023-03-10","08:34",4.1,62.119,"31 km WSW of La Libertad, El Salvador",13.3532,-89.58
"2023-03-05","17:09",4.3,74.989,"61 km S of Intipucá, El Salvador",12.6441,-88.01
"2023-03-04","14:57",4.4,62.95,"41 km S of La Libertad, El Salvador",13.1138,-89.3001
"2023-02-22","20:55",4.3,73.09,"39 km SSW of Chirilagua, El Salvador",12.874,-88.2424
"2023-02-21","22:25",4.3,63.863,"27 km SSE of Acajutla, El Salvador",13.3771,-89.7082
"2023-02-15","16:58",4.3,66.86,"30 km WSW of Acajutla, El Salvador",13.5026,-90.0975
"2023-01-30","03:52",4.9,63.579,"70 km SSW of Chirilagua, El Salvador",12.5936,-88.2741
"2023-01-24","23:15",4.6,71.315,"40 km SSW of Puerto El Triunfo, El Salvador",12.9621,-88.72
"2023-01-19","12:26",4.1,9.693,"5 km NNW of Ahuachapán, El Salvador",13.9676,-89.8728
"2023-01-17","18:20",4.1,62.596,"54 km SW of Jiquilisco, El Salvador",12.9782,-88.9521
"2023-01-16","01:18",4.3,64.038,"42 km SW of La Libertad, El Salvador",13.1731,-89.5441
"2023-01-15","17:07",5.2,10,"7 km NW of Atiquizaya, El Salvador",14.0226,-89.7977
"2022-12-31","12:24",4.3,10,"129 km SSW of Puerto El Triunfo, El Salvador",12.2014,-89.0001
"2022-12-27","19:44",4.5,40.317,"94 km SSW of Acajutla, El Salvador",12.8386,-90.2376
"2022-12-17","10:50",4.7,10,"136 km SSW of Chirilagua, El Salvador",12.0408,-88.5035
"2022-12-15","08:32",5.6,66.834,"40 km S of Puerto El Triunfo, El Salvador",12.9159,-88.5083
